ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
NOW,2025-05-14,S - Sale+OE,0.0007664003342308,1.005014718004227,2025-07-23 16:00:00,11,11,14.63,True,0.1135468025179729,-0.0083581844498899,-0.0243559487459112,-0.0232219771447976,-0.0396406679996497
NOW,2025-05-19,S - Sale,0.0005498424646108,1.0046541031190437,2025-07-23 16:00:00,8,8,14.63,True,-0.0050004424587474,-0.0152085691920328,-0.012659354731261,-0.0268302677813379,-0.0282045215280386
NOW,2025-05-20,S - Sale+OE,0.0005819882087201,1.003282860717233,2025-07-23 16:00:00,7,7,14.63,True,-0.0197250425271447,0.0060485267782009,0.0018282505442549,-0.0138177691080768,-0.0138177691080768
NOW,2025-05-27,S - Sale,0.0017358717552415,1.069884306160908,2025-07-23 16:00:00,3,3,14.63,True,-0.0444342668387991,-0.0073831737671473,-0.0216084098944322,-0.0216084098944322,-0.0216084098944322
NOW,2025-05-29,S - Sale,0.0016245338176447,1.0814434089218945,2025-07-23 16:00:00,1,1,14.63,True,-0.0429860637359375,-0.0140104713318663,-0.0140104713318663,-0.0140104713318663,-0.0140104713318663
NVDA,2024-11-27,S - Sale,0.0025985689656321,2.341245859645773,2024-11-20 16:00:00,-5,5,8.52,False,-0.118469903053636,-0.0002403343317437,-0.0231892920373127,-0.0602352421741429,-0.194921207396795
NVDA,2024-12-13,S - Sale,0.0022223264980324,2.301130751652276,2024-11-20 16:00:00,-16,16,8.52,False,-0.1659203409039771,-0.0274823068190015,-0.0136286325145111,0.0171149345255406,0.0512821198296749
NVDA,2024-12-18,S - Sale,0.0020964465298897,2.3011941686393342,2024-11-20 16:00:00,-19,19,8.52,False,-0.1859888560958778,0.0825292017269297,0.0996514629472395,0.0788934171590483,0.119242288868816
NVDA,2025-01-08,S - Sale,0.0010290433777292,2.2125169274199465,2024-11-20 16:00:00,-32,32,8.52,False,0.064035569566844,-1.7266607575576432e-05,-0.0072452885555529,-0.0399529516177208,-0.1032032532570599
NVDA,2025-03-12,S - Sale,0.00035517650795,2.2224279646974705,2025-02-26 16:00:00,-10,10,5.25,False,0.0679391236321833,0.0786172116423387,0.0482405330767688,0.0347001379142469,0.0088315137440222
